연번,동명,경로당명,구분,경로당 전화번호,도로명 주소,데이터기준일자
42,송천동,송천센트레빌(아),사립아파트,02-980-2103,"숭인로 39 (미아동, 송천센트레빌)",2024-06-20
43,삼각산동,SK북한산시티(아)제1,사립아파트,02-984-1590,"솔샘로 174 (미아동, 에스케이북한산시티아파트, 143동 앞) ",2024-06-20
44,삼각산동,SK북한산시티(아)제2,사립아파트,02-945-8852,"솔샘로 174 (미아동, 에스케이북한산시티아파트) ",2024-06-20
45,삼각산동,래미안트리베라1차(아),사립아파트,02-946-1870,"삼양로19길 25 (미아동, 삼성 래미안 트리베라 1차)",2024-06-20
46,삼각산동,래미안트리베라2차(아),사립아파트,02-988-7732,"삼양로27길 19 (미아동, 삼성 래미안 트리베라 2차)",2024-06-20
47,삼각산동,미아두산위브트레지움(아),사립아파트,02-945-0305,"삼양로27길 80 (미아동, 두산위브트레지움)",2024-06-20
48,번1동,동부,구립,02-999-3400,덕릉로52길 46 (번동) ,2024-06-20
49,번1동,번1동,구립,02-994-3161,덕릉로41길 92 (번동),2024-06-20
50,번1동,번동삼성(아),사립아파트,02-990-7283,"도봉로98길 33 (번동, 삼성아파트) ",2024-06-20
51,번1동,샛강,구립,02-907-4711,도봉로96나길 9-1 (번동) ,2024-06-20
52,번1동,쌍용(아),사립아파트,02-996-6066,"한천로124나길 10 (번동, 쌍용아파트)",2024-06-20
53,번1동,두산위브(아),사립아파트,02-905-1807,"덕릉로41길 15 (번동, 수유역 두산위브 아파트)",2024-06-20
54,번1동,번남,구립,02-905-1231,오패산로77길 29-7 (번동),2024-06-20
55,번2동,교육촌,구립,02-988-1180,오현로25다길 36 (번동) ,2024-06-20
56,번2동,금호어울림(아),사립아파트,02-987-4104,"오현로31길 85-7 (번동, 금호아파트)",2024-06-20
57,번2동,번동주공4단지(아),사립아파트,02-945-0914,"오현로 207 (번동, 번동4단지주공아파트)",2024-06-20
58,번2동,번동주공5단지(아),사립아파트,02-985-8982,"한천로115길 20(번동, 번동주공5단지아파트)",2024-06-20
59,번2동,샘골,구립,02-988-8827,덕릉로44길 6-4 (번동) ,2024-06-20
60,번2동,오동,구립,02-986-1789,오현로25나길 92 (번동) ,2024-06-20
61,번2동,장수촌,구임차,070-8253-0988,덕릉로 36길 22-4 (번동),2024-06-20
62,번2동,오동공원현대홈타운(아),사립아파트,02-980-7767,"오현로31길 89 (번동, 오동공원 현대홈타운)",2024-06-20
63,번2동,샘마을,구립,02-980-9234,오현로31길 125-14(번동),2024-06-20
64,번3동,골말,구립,02-985-6684,한천로109길 57-12 (번동),2024-06-20
65,번3동,기산그린(아),사립아파트,02-6223-8956,"월계로37길 137 (번동, 기산그린아파트)",2024-06-20
66,번3동,동문(아),사립아파트,02-945-6483,"오현로 128 (번동, 번동동문아파트)",2024-06-20
67,번3동,번동주공2단지(아),사립아파트,02-945-9802,"한천로105길 24 (번동, 번동2단지주공아파트) ",2024-06-20
68,번3동,번동솔그린(아),사립아파트,02-945-2533,"한천로109길 83 (번동, 번동솔그린아파트)",2024-06-20
69,번3동,신원(아),사립아파트,02-985-2659,"월계로37길 87-9 (번동, 신원아파트) ",2024-06-20
70,번3동,오현(아),사립아파트,02-989-5927,"한천로105길 23 (번동, 번동1단지주공아파트) ",2024-06-20
71,번3동,한솔솔파크(아),사립아파트,02-980-7036,"오현로 180 (번동, 한솔솔파크아파트)",2024-06-20
72,번3동,한양(아),사립아파트,02-988-1117,"한천로109길 69 (번동, 한양아파트)",2024-06-20
73,번3동,한진(아),사립아파트,02-987-7175,"월계로37길 61 (번동, 번동한진아파트)",2024-06-20
74,번3동,해모로(아),사립아파트,02-984-8723,"오현로 156 (번동, 해모로아파트)",2024-06-20
75,번3동,번동주공3단지(아),사립아파트,02-984-6152,"오현로 208 (번동, 번동3단지주공아파트) ",2024-06-20
76,수유1동,삼흥,사립,02-945-5888,"삼양로77길 111 (수유동, 삼흥연립2단지)",2024-06-20
77,수유1동,큰무네미,사립,02-988-2122,도봉로71가길 30-9 (수유동),2024-06-20
78,수유1동,수유 ,구립,02-986-2803,인수봉로20길 32 (수유동) ,2024-06-20
79,수유1동,수유장수,구립,02-989-5243,삼양로80나길 56 (수유동),2024-06-20
80,수유1동,화계,구립,02-980-1811,인수봉로38가길 28(수유동),2024-06-20
81,수유2동,6.25참전용사,사립,02-907-7947,"노해로 115 (수유동, 대한민국 재향군인회 건물 옥상)",2024-06-20
82,수유2동,물댐길,구립,02-998-0538,한천로170가길 4 (수유동) ,2024-06-20
83,수유2동,벽산201(아),사립아파트,02-995-8741,"삼양로 116길 20 (수유동, 수유 벽산201 아파트)",2024-06-20
84,수유2동,벽산(아),사립아파트,02-907-3557,"삼각산로 143-1 (수유동, 수유벽산아파트)",2024-06-20
85,수유2동,삼성장수(아),사립아파트,02-6224-4254,"한천로159길 8 (수유동, 수유삼성아파트)",2024-06-20
86,수유2동,수유2동,구립,02-903-7167,노해로 23길94 (수유동) ,2024-06-20
87,수유2동,수유삼성(아),사립아파트,02-991-3515,"한천로159길 8 (수유동, 래미안수유아파트 106동 옆) ",2024-06-20
88,수유2동,장미원,구립,02-998-8799,삼양로124길 29-8 (수유동),2024-06-20
89,수유3동,상산,구립,02-904-9002,노해로8길 23 (수유동) ,2024-06-20
90,수유3동,수유3동,구립,02-902-7853,삼양로98길 22 (수유동),2024-06-20
91,수유3동,은모루,구립,02-998-1196,도봉로95길 38-1 (수유동) ,2024-06-20
92,우이동,대우(아),사립아파트,02-996-5255,"삼양로149길 45 (우이동, 우이동푸르지오)",2024-06-20
93,우이동,백운,사립,02-900-1138,삼양로159길 9 (우이동),2024-06-20
94,우이동,삼각산,구립,02-904-1071,삼양로 515-21 (우이동) ,2024-06-20
95,우이동,소귓골,구임차,02-905-0637,삼양로173가길 55 (우이동) 메이트하우스 102동 201호,2024-06-20
96,우이동,우이,구립,02-903-1007,삼양로170길 23 (우이동),2024-06-20
97,우이동,우이성원(아),사립아파트,02-999-2139,"삼양로 658 (우이동, 성원아파트) ",2024-06-20
98,인수동,가오,사립,02-905-4967,삼양로111길 56 (수유동),2024-06-20
99,인수동,극동(아),사립아파트,02-990-5283,"인수봉로72길 4 (수유동, 극동아파트) ",2024-06-20
100,인수동,무너미,구립,02-900-4046,인수봉로55가길 21 (수유동),2024-06-20
101,인수동,삼산,구립,02-902-5374,인수봉로79길 62-4 (수유동),2024-06-20
102,인수동,인수,구립,02-908-2263,인수봉로72길 15-12 (수유동),2024-06-20
103,인수동,제일,구립,02-996-4132,삼양로87길 3 (수유동),2024-06-20
104,인수동,한신,구립,02-994-0090,인수봉로48길 5-6 (수유동) ,2024-06-20
